economy,series,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2012
COL,NY.GDP.DEFL.KD.ZG.AD,1.90767643221146,2.23563237643145,2.44932842052003,5.14833430514589,5.13373589963344,4.63057967327826,4.0026205429363,1.35648830406542,6.50221478654835,,3.61665506268464
COL,NY.GDP.MKTP.CD,382116120909.218,381112110485.385,293481753078.868,282825012368.255,311883730442.045,334198218100.719,323109540251.855,270299984937.97,314464137241.33,,370921317942.564
COL,NY.GDP.MKTP.KD.ZG,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.04815120786543,10.6770130738261,,3.91263576716115
COL,NY.GDP.PCAP.KD,5899.55449452261,6106.86209493595,6228.4262990412,6290.85211704641,6280.66383827747,6320.76208436838,6403.87709573135,5865.65409477439,6418.09775120445,,5667.29372773527
CYP,NY.GDP.DEFL.KD.ZG.AD,-0.937733917292277,-1.33826248205131,-0.754234116436621,-0.574732598335757,1.03697633344262,1.00390723604291,1.32301892782176,-1.20902538604891,2.87114487078119,,1.67877921551435
CYP,NY.GDP.MKTP.CD,23961144906.3621,23226782250.5646,19909190058.804,21046951516.4932,22946726163.5789,25596474964.5725,25944504645.6957,25008448886.3507,28407867534.0035,,25048659899.7816
CYP,NY.GDP.MKTP.KD.ZG,-6.58748225683094,-1.77606191187711,3.41892318781653,6.57358020185954,5.73347613913472,5.64785820050915,5.52942854943188,-4.37247418575215,6.63892696813528,,-3.44738142393619
CYP,NY.GDP.PCAP.KD,22738.390625,22581.7265625,23487.125,24916.51953125,26101.181640625,27241.0078125,28359.919921875,26814.21484375,28329.203125,,24285.388671875
ITA,NY.GDP.DEFL.KD.ZG.AD,1.14761015891955,0.913241261981469,0.931863574759717,1.13435002037254,0.726343220957816,1.06813204686947,0.920178589236428,1.37567785585142,0.474843836963416,,1.54730144037734
ITA,NY.GDP.MKTP.CD,2141924094298.56,2162009615996.54,1836637711060.55,1877071687633.78,1961796197354.36,2091932426266.98,2011302198827.45,1896755301518.14,2107702842669.73,,2086957656821.6
ITA,NY.GDP.MKTP.KD.ZG,-1.84106545088248,-0.00454754236383792,0.778304350716581,1.29346273155907,1.66785904106857,0.925810941012742,0.483198316597154,-9.03995341122885,6.73727712298924,,-2.98090576823772
